development_selection_order,ticker,name,market,selection_sector,market_cap_bucket,selection_stratum,within_stratum_rank,listing_date,listing_age_bucket,industry,source_development_selection_order,spent_stock_quarantine,oos_a_frozen,future_outcomes_opened
78,001130,대한제분,KOSPI,OTHER_UNKNOWN,CAP_MID,KOSPI|OTHER_UNKNOWN|CAP_MID,2,1970-11-25,AGE_GE10Y,"곡물가공품, 전분 및 전분제품 제조업",177,False,True,False
79,000950,전방,KOSPI,OTHER_UNKNOWN,CAP_SMALL,KOSPI|OTHER_UNKNOWN|CAP_SMALL,2,1968-10-21,AGE_GE10Y,방적 및 가공사 제조업,178,False,True,False
80,002030,아세아,KOSPI,PROFESSIONAL_SERVICES,CAP_MID,KOSPI|PROFESSIONAL_SERVICES|CAP_MID,2,1974-06-03,AGE_GE10Y,회사 본부 및 경영 컨설팅 서비스업,179,False,True,False
82,005680,삼영전자,KOSPI,SEMICON_ELECTRONICS,CAP_MID,KOSPI|SEMICON_ELECTRONICS|CAP_MID,2,1976-12-28,AGE_GE10Y,전자부품 제조업,181,False,True,False
83,005870,휴니드,KOSPI,SEMICON_ELECTRONICS,CAP_SMALL,KOSPI|SEMICON_ELECTRONICS|CAP_SMALL,2,1991-09-03,AGE_GE10Y,통신 및 방송 장비 제조업,182,False,True,False
84,035420,NAVER,KOSPI,SOFTWARE_IT,CAP_LARGE,KOSPI|SOFTWARE_IT|CAP_LARGE,2,2008-11-28,AGE_GE10Y,"자료처리, 호스팅, 포털 및 기타 인터넷 정보매개 서비스업",183,False,True,False
85,037270,YG PLUS,KOSPI,SOFTWARE_IT,CAP_MID,KOSPI|SOFTWARE_IT|CAP_MID,2,2003-08-01,AGE_GE10Y,"자료처리, 호스팅, 포털 및 기타 인터넷 정보매개 서비스업",184,False,True,False
86,003490,대한항공,KOSPI,TRANSPORT_LOGISTICS,CAP_LARGE,KOSPI|TRANSPORT_LOGISTICS|CAP_LARGE,2,1966-03-18,AGE_GE10Y,항공 여객 운송업,185,False,True,False
87,002320,한진,KOSPI,TRANSPORT_LOGISTICS,CAP_MID,KOSPI|TRANSPORT_LOGISTICS|CAP_MID,2,1974-08-12,AGE_GE10Y,도로 화물 운송업,186,False,True,False
88,009180,한솔로지스틱스,KOSPI,TRANSPORT_LOGISTICS,CAP_SMALL,KOSPI|TRANSPORT_LOGISTICS|CAP_SMALL,2,1989-11-13,AGE_GE10Y,기타 운송관련 서비스업,187,False,True,False
